,.SPXTR,.SPXTR,.SPXTR,.SPXTR,.SPXTR,.SPX,.SPX,.SPX,.SPX,.SPX
,LOW_1,TRDPRC_1,HIGH_1,OPEN_PRC,ACVOL_UNS,LOW_1,TRDPRC_1,HIGH_1,OPEN_PRC,ACVOL_UNS
Date,,,,,,,,,,
2013-02-28,2621.4624,2669.9192,2696.2649,2660.699,,,,,,
2013-03-31,2676.1753,2770.0498,2770.0498,2676.1753,,,,,,
2013-04-30,2723.7239,2823.4194,2823.4194,2757.8259,,,,,,
2013-05-31,2797.2795,2889.4644,2955.6951,2797.2795,,,,,,
2013-06-30,2790.6599,2850.6624,2929.8127,2906.9121,,,,,,
2013-07-31,2865.4763,2995.7161,3012.2974,2866.4114,,,,,,
2013-08-31,2903.2881,2908.9551,3038.6296,3033.5874,,,,,,
2013-09-30,2921.228,3000.1785,3076.8074,2921.228,,,,,,
2013-10-31,2955.4104,3138.0901,3165.1074,3024.3799,,,,,,
2013-11-30,3124.1191,3233.7202,3236.1377,3147.2131,,,,,,
2013-12-31,3182.0725,3315.5852,3315.5852,3225.0593,,,,,,
2014-01-31,3185.7014,3200.9519,3317.7456,3286.6873,,,,,,
2014-02-28,3127.8652,3347.376,3347.376,3127.8652,,,,,,
2014-03-31,3317.8054,3375.5129,3382.5732,3322.8518,,,,,,
2014-04-30,3276.0359,3400.4648,3409.7964,3399.5076,,,,,,
2014-05-31,3371.7236,3480.2876,3480.2876,3400.2024,,,,,,
2014-06-30,3482.002,3552.1816,3555.604,3483.136,,,,,,
2014-07-31,3503.1938,3503.1938,3606.1038,3576.5464,,,,,,
2014-08-31,3467.1401,3643.3394,3643.3394,3493.1758,,,,,,
2014-09-30,3579.6111,3592.2463,3661.7327,3641.5215,,,,,,
2014-10-31,3395.0342,3679.9875,3679.9875,3544.9778,,,,,,
2014-11-30,3669.1807,3778.9597,3788.4158,3679.5798,,,,,,
2014-12-31,3609.062,3769.4402,3826.9546,3753.3118,,,,,,
2015-01-31,3650.7373,3656.2844,3780.5088,3768.6797,,,,,,
2015-02-28,3703.7686,3866.4167,3885.2749,3703.7686,,,,,,
2015-03-31,3751.2046,3805.2712,3890.3247,3890.3247,,,,,,
2015-04-30,3790.6577,3841.7761,3900.2407,3790.6577,,,,,,
2015-05-31,3833.6958,3891.1785,3932.8965,3883.7471,,,,,,
2015-06-30,3805.5049,3815.8528,3927.2295,3899.5857,,,,,,
2015-07-31,3787.6704,3895.7998,3939.3489,3843.2559,,,,,,
2015-08-31,3465.1853,3660.7512,3899.3647,3885.0691,,,,,,
2015-09-30,3498.6135,3570.1714,3707.6248,3552.655,,,,,,
2015-10-31,3577.4714,3871.3298,3891.3506,3577.4714,,,,,,
2015-11-30,3771.585,3882.8425,3928.052,3917.303,,,,,,
2015-12-31,3747.5581,3821.603,3924.6279,3924.6279,,,,,,
2016-01-31,3479.751,3631.959,3771.5701,3763.9863,,,,,,
2016-02-29,3428.9856,3627.0586,3662.8394,3630.4592,,,,,,
2016-03-31,3713.696,3873.1118,3881.0144,3713.696,,,,,,
2016-04-30,3841.9807,3888.1267,3957.2466,3897.6619,,,,,,
2016-05-31,3847.9739,3957.9504,3961.6655,3918.5271,,,,,,
2016-06-30,3781.0151,3968.2058,4001.9817,3963.0989,,,,,,
2016-07-31,3949.7188,4114.5083,4116.5034,3976.678,,,,,,
2016-08-31,4083.2488,4120.2852,4151.6904,4109.2837,,,,,,
2016-09-30,4037.8279,4121.0645,4150.5054,4120.1733,,,,,,
2016-10-31,4045.0688,4045.8914,4115.1196,4108.1333,,,,,,
2016-11-30,3970.0244,4195.7305,4221.0244,4018.4746,,,,,,
2016-12-31,4181.1479,4278.6636,4337.8613,4181.1479,,,,,,
2017-01-31,4315.0776,4359.8149,4396.5679,4315.0776,,,,,,
2017-02-28,4362.1045,4532.9253,4544.5083,4362.1045,,,,,,
2017-03-31,4496.5288,4538.2129,4595.7349,4595.7349,,,,,,
2017-04-30,4477.0688,4584.8198,4593.5684,4530.9751,,,,,,
2017-05-31,4540.5825,4649.3413,4655.6538,4592.7808,,,,,,
2017-06-30,4669.2686,4678.3599,4734.479,4685.1104,,,,,,
2017-07-31,4655.0249,4774.5596,4788.4111,4689.6084,,,,,,
2017-08-31,4696.2202,4789.1758,4797.1313,4786.2656,,,,,,
2017-09-30,4762.7461,4887.9673,4887.9673,4798.9873,,,,,,
2017-10-31,4906.9185,5002.0303,5012.7495,4906.9185,,,,,,
2017-11-30,4987.9595,5155.4414,5155.4414,5009.9858,,,,,,
2017-12-31,5120.4629,5212.7632,5242.2847,5145.207,,,,,,
2018-01-31,5256.2842,5511.2144,5606.085,5256.2842,,,,,,
